key,0,1
#,,
int32,str,str
0,"TEXT_JOBREL200_02284_SEQ_00","<UIForeground>F201F6</UIForeground><UIGlow>F201F7</UIGlow>特殊规则：  职业固定<UIGlow>01</UIGlow><UIForeground>01</UIForeground>
阿尔达希尔希望继续推进人造元灵的研究。"
1,"TEXT_JOBREL200_02284_SEQ_01","※本任务为<UIForeground>F201F6</UIForeground><UIGlow>F201F7</UIGlow><UIGlow>01</UIGlow><UIForeground>01</UIForeground> 职业固定任务，
　需要与接受任务时的职业相同才可继续进行任务。

阿尔达希尔提案对元灵武器进行改造，使冒险者更容易将以太传导给人造元灵。为此，需要将盖罗尔特的工具进行绝灵化才行。盖罗尔特委托冒险者收集绝灵化用的<Sheet(Item,14899,0)/>。使用接受任务时的职业并换下元灵武器放在兵装库或背包中，将5个<Sheet(Item,14899,0)/>交给魔大陆阿济兹拉螺旋港的阿尔达希尔。"
2,"TEXT_JOBREL200_02284_SEQ_02","将<Sheet(Item,14899,0)/>交给了阿尔达希尔。武器发散出的美丽光华完美证明了冒险者的以太已源源不断地传导给人造元灵，人造元灵本身也有了一些改变……同元灵武器·超导共同成长，为下一次研究做好准备。"
3,"TEXT_JOBREL200_02284_SEQ_03",""
4,"TEXT_JOBREL200_02284_SEQ_04",""
5,"TEXT_JOBREL200_02284_SEQ_05",""
6,"TEXT_JOBREL200_02284_SEQ_06",""
7,"TEXT_JOBREL200_02284_SEQ_07",""
8,"TEXT_JOBREL200_02284_SEQ_08",""
9,"TEXT_JOBREL200_02284_SEQ_09",""
10,"TEXT_JOBREL200_02284_SEQ_10",""
11,"TEXT_JOBREL200_02284_SEQ_11",""
12,"TEXT_JOBREL200_02284_SEQ_12",""
13,"TEXT_JOBREL200_02284_SEQ_13",""
14,"TEXT_JOBREL200_02284_SEQ_14",""
15,"TEXT_JOBREL200_02284_SEQ_15",""
16,"TEXT_JOBREL200_02284_SEQ_16",""
17,"TEXT_JOBREL200_02284_SEQ_17",""
18,"TEXT_JOBREL200_02284_SEQ_18",""
19,"TEXT_JOBREL200_02284_SEQ_19",""
20,"TEXT_JOBREL200_02284_SEQ_20",""
21,"TEXT_JOBREL200_02284_SEQ_21",""
22,"TEXT_JOBREL200_02284_SEQ_22",""
23,"TEXT_JOBREL200_02284_SEQ_23",""
