key,0,1
#,,
int32,str,str
0,"TEXT_CTSERKEUREKA1EVENTINVESTIGATORS1_00462_INV00462_000_000","我负责整理向赞助商汇报所需要的记录。
你的调查活动我也会认真记录的，
就请你放心吧。"
1,"TEXT_CTSERKEUREKA1EVENTINVESTIGATORS1_00462_INV00462_000_010","常风地带的调查辛苦你了！
我已经记录了你的调查活动。
要确认一下吗？"
2,"TEXT_CTSERKEUREKA1EVENTINVESTIGATORS1_00462_INV00462_100_010","恒冰地带的调查辛苦你了！
我已经记录了你的调查活动。
要确认一下吗？"
3,"TEXT_CTSERKEUREKA1EVENTINVESTIGATORS1_00462_INV00462_110_010","在优雷卡进行的调查终于要接近尾声了。
我详细地记录了你的探索活动。
你要确认一下吗？"
4,"TEXT_CTSERKEUREKA1EVENTINVESTIGATORS1_00462_INV00462_120_010",""
5,"TEXT_CTSERKEUREKA1EVENTINVESTIGATORS1_00462_INV00462_130_010",""
6,"TEXT_CTSERKEUREKA1EVENTINVESTIGATORS1_00462_INV00462_140_010",""
7,"TEXT_CTSERKEUREKA1EVENTINVESTIGATORS1_00462_INV00462_150_010",""
8,"TEXT_CTSERKEUREKA1EVENTINVESTIGATORS1_00462_Q1_000_000","要查看哪一条记录？"
9,"TEXT_CTSERKEUREKA1EVENTINVESTIGATORS1_00462_A1_000_001","常风地带的调查记录1"
10,"TEXT_CTSERKEUREKA1EVENTINVESTIGATORS1_00462_A1_000_002","常风地带的调查记录2"
11,"TEXT_CTSERKEUREKA1EVENTINVESTIGATORS1_00462_A1_000_003","常风地带的调查记录3"
12,"TEXT_CTSERKEUREKA1EVENTINVESTIGATORS1_00462_A1_100_001","恒冰地带的调查记录1"
13,"TEXT_CTSERKEUREKA1EVENTINVESTIGATORS1_00462_A1_100_002","恒冰地带的调查记录2"
14,"TEXT_CTSERKEUREKA1EVENTINVESTIGATORS1_00462_A1_100_003","恒冰地带的调查记录3"
15,"TEXT_CTSERKEUREKA1EVENTINVESTIGATORS1_00462_A2_000_001","涌火地带的调查记录1"
16,"TEXT_CTSERKEUREKA1EVENTINVESTIGATORS1_00462_A2_000_002","涌火地带的调查记录2"
17,"TEXT_CTSERKEUREKA1EVENTINVESTIGATORS1_00462_A2_000_003","涌火地带的调查记录3"
