key,0,1
#,,
int32,str,str
0,"TEXT_CMNDEFHOUSINGSIGNBOARD_00135_NO_PERMIT_TO_BUY1","要想以个人形式购买土地，必须有足够的金币支付费用，
还要将任意职业升至50级。"
1,"TEXT_CMNDEFHOUSINGSIGNBOARD_00135_NO_PERMIT_TO_BUY2","此外，所属黑涡团的情况下，军衔需在“协漩尉”以上，
所属双蛇党的情况下，军衔需在“协牙尉”以上，
所属恒辉队的情况下，军衔需在“协耀尉”以上。"
2,"TEXT_CMNDEFHOUSINGSIGNBOARD_00135_KUGANE_NOT_OPENED","白银乡现还处于售前展示状态。
在土地正式对外销售前，请您耐心等待。"
3,"TEXT_CMNDEFHOUSINGSIGNBOARD_00135_KUGANE_NOT_ARROWED_TO_BUY","想要在白银乡购买土地，
需要先完成“红莲之狂潮主线任务”中的“乘风破浪”。"
4,"TEXT_CMNDEFHOUSINGSIGNBOARD_00135_ISHGARD_NOT_OPENED","穹顶皓天现还处于售前展示状态。
在土地正式对外销售前，请您耐心等待。"
5,"TEXT_CMNDEFHOUSINGSIGNBOARD_00135_ISHGARD_NOT_ARROWED_TO_BUY","想要在穹顶皓天购买土地，
需要先完成“苍穹之禁城主线任务”中的“绝命怒嚎”。"
6,"TEXT_CMNDEFHOUSINGSIGNBOARD_00135_LAND_LOTTERY_LOTTED","参与了<Sheet(PlaceName,<Sheet(TerritoryType,IntegerParameter(1),5)/>,0)/> 第<Value>IntegerParameter(2)</Value>区 <Value>IntegerParameter(3)</Value>号的抽选。
申请号码为<Value>IntegerParameter(4)</Value>号。
结果可于<Time(IntegerParameter(5))/><Value>TopLevelParameter(222)</Value>/<Value>TopLevelParameter(221)</Value>/<Value>TopLevelParameter(219)</Value> <Value>TopLevelParameter(218)</Value>:<TwoDigitValue>TopLevelParameter(217)</TwoDigitValue>之后进行确认。"
7,"TEXT_CMNDEFHOUSINGSIGNBOARD_00135_LAND_LOTTERY_REFUND_FULL_GIL","若返还金币后所持金币超过上限，则无法返还。
请减少所持金币数量后再试。"
