key,0,1
#,,
int32,str,str
0,"TEXT_BANYOK003_05332_SEQ_00","守雪人小屋的法腊法想要借助冒险者的力量。"
1,"TEXT_BANYOK003_05332_SEQ_01","※本任务为<UIForeground>F201FC</UIForeground><UIGlow>F201FD</UIGlow><UIGlow>01</UIGlow><UIForeground>01</UIForeground> 等级调整（限定职业）任务，
　需要与接受任务时的职业相同才可继续进行任务。

和法腊法进行了交谈。冒险者决定和在达托戈活着时有过交流的人谈谈。和奥阔帕恰山的沃拉的回响的库布鲁谈谈。"
2,"TEXT_BANYOK003_05332_SEQ_02","和库布鲁进行了交谈。聊到了在寒冷地带生长的玉米，决定前往山上查看情况。和雪棱拜坛的库布鲁谈谈。"
3,"TEXT_BANYOK003_05332_SEQ_03","和库布鲁进行了交谈。和守雪人小屋的法腊法谈谈。"
4,"TEXT_BANYOK003_05332_SEQ_04","和法腊法进行了交谈。准备好生墓挖掘工具，并交给守雪人小屋的法腊法。"
5,"TEXT_BANYOK003_05332_SEQ_05","将生墓挖掘工具交给了法腊法。成功挖出了达托戈的生墓，并修好了食料储藏库。在等待解读生墓的期间，请继续协助进一步修复的准备工作吧。"
6,"TEXT_BANYOK003_05332_SEQ_06",""
7,"TEXT_BANYOK003_05332_SEQ_07",""
8,"TEXT_BANYOK003_05332_SEQ_08",""
9,"TEXT_BANYOK003_05332_SEQ_09",""
10,"TEXT_BANYOK003_05332_SEQ_10",""
11,"TEXT_BANYOK003_05332_SEQ_11",""
12,"TEXT_BANYOK003_05332_SEQ_12",""
13,"TEXT_BANYOK003_05332_SEQ_13",""
14,"TEXT_BANYOK003_05332_SEQ_14",""
15,"TEXT_BANYOK003_05332_SEQ_15",""
16,"TEXT_BANYOK003_05332_SEQ_16",""
17,"TEXT_BANYOK003_05332_SEQ_17",""
18,"TEXT_BANYOK003_05332_SEQ_18",""
19,"TEXT_BANYOK003_05332_SEQ_19",""
20,"TEXT_BANYOK003_05332_SEQ_20",""
21,"TEXT_BANYOK003_05332_SEQ_21",""
22,"TEXT_BANYOK003_05332_SEQ_22",""
23,"TEXT_BANYOK003_05332_SEQ_23",""
24,"TEXT_BANYOK003_05332_TODO_00","和库布鲁对话"
25,"TEXT_BANYOK003_05332_TODO_01","和雪棱拜坛的库布鲁对话"
