key,0,1
#,,
int32,str,str
0,"TEXT_CMNCNTWEEKLYBINGO_00372_KHLOEALIAPOF_000_010","啊，<If(PlayerParameter(4))>大姐姐<Else/>大哥哥</If>！
不好意思，我不卖东西。
如果有什么想要的，请去罗薇娜阿姨的店里！"
1,"TEXT_CMNCNTWEEKLYBINGO_00372_KHLOEALIAPOF_000_020","你好，<Highlight>ObjectParameter(1)</Highlight>！
找我有什么事吗？"
2,"TEXT_CMNCNTWEEKLYBINGO_00372_KHLOEALIAPOF_000_030","你好，<Highlight>ObjectParameter(1)</Highlight>！
谢谢你又来找我！
有什么新的冒险事迹想告诉我吗？"
3,"TEXT_CMNCNTWEEKLYBINGO_00372_KHLOEALIAPOF_000_040","你好，<Highlight>ObjectParameter(1)</Highlight>！
我刚好在想你是不是要来找我了。
如果有什么新的冒险事迹记得告诉我哦！"
4,"TEXT_CMNCNTWEEKLYBINGO_00372_KHLOEALIAPOF_000_050","哇！这不是<Highlight>ObjectParameter(1)</Highlight>吗！
我一直在等你！如果有新的冒险事迹就告诉我吧！"
5,"TEXT_CMNCNTWEEKLYBINGO_00372_KHLOEALIAPOF_Q1_000_000","要做什么？"
6,"TEXT_CMNCNTWEEKLYBINGO_00372_KHLOEALIAPOF_A1_000_001","将奇谈书交给库洛"
7,"TEXT_CMNCNTWEEKLYBINGO_00372_KHLOEALIAPOF_A1_000_002","领取新的奇谈书"
8,"TEXT_CMNCNTWEEKLYBINGO_00372_KHLOEALIAPOF_A1_100_002","关于奇谈书"
9,"TEXT_CMNCNTWEEKLYBINGO_00372_KHLOEALIAPOF_A1_000_003","取消"
10,"TEXT_CMNCNTWEEKLYBINGO_00372_KHLOEALIAPOF_SHOP_0","库洛奖状：金奖交换"
11,"TEXT_CMNCNTWEEKLYBINGO_00372_KHLOEALIAPOF_SHOP_1","库洛奖状：银奖交换"
12,"TEXT_CMNCNTWEEKLYBINGO_00372_KHLOEALIAPOF_SHOP_2","库洛奖状：铜奖交换"
13,"TEXT_CMNCNTWEEKLYBINGO_00372_KHLOEALIAPOF_000_060","咦，这个奇谈书已经过期了。
不好意思，我想要一些新的冒险事迹！
这本过期的就还给我吧。"
