key,0,1,2,3,4,5,6,7,8,9,10,11
#,Text,Item,GatheringItemLevel,,IsHidden,,FishingRecordType,TerritoryType,GatheringSubCategory,IsInLog,TimeRestricted,WeatherRestricted
int32,str,Row,GatheringItemLevelConvertTable,byte,bit&01,bit&02,FishingRecordType,TerritoryType,GatheringSubCategory,bit&04,bit&08,bit&10
0,"",0,0,0,False,False,0,0,0,True,False,False
1,"据说这种海带能够成长到1星里（约1600米）之长，在艾欧泽亚的五大海区均有分布。",4776,4,0,False,False,0,128,0,True,False,False
2,"一种食欲特别旺盛的水生动物，据说钓上它甚至都不需要用钓钩。只要眼前出现了活动的东西，一律会用螯爪先抓住再说。",4925,2,0,False,False,2,148,0,True,False,False
3,"这种鱼一旦进入繁殖期就会改变身体的颜色，头部、腹部还有尾部都会变得非常鲜艳，是一种非常受欢迎的观赏鱼，经常用来作为送给结婚新人的礼物。",4926,3,0,False,False,2,134,0,True,False,False
4,"一种有条纹的海水鱼，经常是多种大型鱼的捕食对象，可以说是食物链的基础。捕鱼人们也非常喜欢用这种鱼做钓饵。",4869,3,0,False,False,0,134,0,True,False,False
5,"在很长一段时间里，这种鱼都不曾被人类成功捕捞过。不过有一次一个卢恩人在船舱内部发现了一条腐烂的鳀鱼，并且发现吃起来非常美味。从那之后，腌鳀鱼便逐渐走上了千家万户的餐桌。",4870,3,0,False,False,0,134,0,True,False,False
6,"根据库尔札斯的民间传说，这种鱼的祖先有着能够在空中飞翔的能力，可是由于过于傲慢，受到了众神的惩罚，后世子孙只能永远潜伏在水底。",4927,4,0,False,False,2,148,0,True,False,False
7,"这种小鱼上钩的时候会发出“唧唧”的声音，大概是对被鱼饵骗上钩感到懊悔吧。",4928,4,0,False,False,2,134,0,True,False,False
8,"只有手指大小的小虾，经常用在各种煮菜中调味，同时也很适合做鱼饵。",4871,4,0,False,False,0,134,0,True,False,False
