key,0,1
#,,
int32,str,str
0,"TEXT_BANALL050_01471_SEQ_00","第789洞穴团采矿地的斯凯特希斯协漩尉有事情想委托给曾经帮助过第789洞穴团的冒险者。"
1,"TEXT_BANALL050_01471_SEQ_01","经推理，斯凯特希斯认为兽人连续诱拐犯乘坐飞空艇逃走了。前往拉诺西亚外地的瞭望阵营地，和布鲁艾丁协漩校对话，询问是否看到了可疑飞空艇。"
2,"TEXT_BANALL050_01471_SEQ_02","和布鲁艾丁进行了交谈。确有黑涡团队员目击到了船籍不明的飞空艇。和被收留在瞭望阵营地的希尔维谈谈。调查她所在的<Sheet(EObj,2004257,0)/>，并查看里面。"
3,"TEXT_BANALL050_01471_SEQ_03","与<Sheet(EObj,2004257,0)/>中的希尔维进行了交谈。据她所推测，诱拐犯的下一个目标应该是鸟人族。负伤的希尔维委托冒险者代替自己追捕诱拐犯。前往北部林区的长风实验场，和赛兹尔·托托罗克重逢。"
4,"TEXT_BANALL050_01471_SEQ_04","和长风实验场的赛兹尔·托托罗克进行了交谈。助手塔塔拉姆也在那里。在欢聚之时，众人得到情报，鸟人军采伐所的装甲气球和神秘飞空艇进行了空战。空战的起因是鸟人族被诱拐。在北部林区的林场水车周边收集证据，寻找神秘飞空艇的线索。"
5,"TEXT_BANALL050_01471_SEQ_05","在林场水车周边找到了<Sheet(EventItem,2001318,0)/>。回到长风实验场，将其交给塔塔拉姆，并询问他的意见。"
6,"TEXT_BANALL050_01471_SEQ_06","将<Sheet(EventItem,2001318,0)/>交给了塔塔拉姆。身为高风飞行社的接班人，他正确地从碎片中分析出了飞空艇的型号和制造记录。冒险者终于抓住了兽人连续诱拐犯的决定性证据，幕后黑手到底是……"
7,"TEXT_BANALL050_01471_SEQ_07","无"
8,"TEXT_BANALL050_01471_SEQ_08","无"
9,"TEXT_BANALL050_01471_SEQ_09","无"
10,"TEXT_BANALL050_01471_SEQ_10","无"
11,"TEXT_BANALL050_01471_SEQ_11","无"
12,"TEXT_BANALL050_01471_SEQ_12","无"
13,"TEXT_BANALL050_01471_SEQ_13","无"
14,"TEXT_BANALL050_01471_SEQ_14","无"
15,"TEXT_BANALL050_01471_SEQ_15","无"
16,"TEXT_BANALL050_01471_SEQ_16","无"
17,"TEXT_BANALL050_01471_SEQ_17","无"
