key,0,1
#,,
int32,str,str
0,"TEXT_CTSFCKATTENDANT_00454_TALK_ACTOR","你好，有什么想问的吗？"
1,"TEXT_CTSFCKATTENDANT_00454_TALK_QUEST_INCOMPLETE","我叫霞，是假面·罗斯的助手！
如果你对时尚品鉴有兴趣，
就去和假面·罗斯谈谈吧！"
2,"TEXT_CTSFCKATTENDANT_00454_GUIDEMENU_000_000","想了解什么？"
3,"TEXT_CTSFCKATTENDANT_00454_GUIDEMENU_001_000","关于时尚品鉴"
4,"TEXT_CTSFCKATTENDANT_00454_GUIDEMENU_002_000","关于评分"
5,"TEXT_CTSFCKATTENDANT_00454_GUIDEMENU_003_000","关于报酬"
6,"TEXT_CTSFCKATTENDANT_00454_GUIDEMENU_CANCEL","取消"
7,"TEXT_CTSFCKATTENDANT_00454_GUIDE_001_000","所谓时尚品鉴，就是由参加者根据假面·罗斯给出的主题，
搭配并穿上对应的服装接受评分的活动。"
8,"TEXT_CTSFCKATTENDANT_00454_GUIDE_001_001","悄悄告诉你一件事，
假面·罗斯是一流的时尚评论家，评分可是十分严格的，
你最好穿上自己认为最有信心拿高分的衣服去进行挑战！"
9,"TEXT_CTSFCKATTENDANT_00454_SYSTEM_001_002","时尚品鉴的主题会在每周<ResetTime>1203</ResetTime><Switch(TopLevelParameter(220))><Case(1)>周日</Case><Case(2)>周一</Case><Case(3)>周二</Case><Case(4)>周三</Case><Case(5)>周四</Case><Case(6)>周五</Case><Case(7)>周六</Case></Switch>的<If(TopLevelParameter(218))><Switch(TopLevelParameter(218))><Case(1)>1</Case><Case(2)>2</Case><Case(3)>3</Case><Case(4)>4</Case><Case(5)>5</Case><Case(6)>6</Case><Case(7)>7</Case><Case(8)>8</Case><Case(9)>9</Case><Case(10)>10</Case><Case(11)>11</Case><Case(12)>12</Case><Case(13)>13</Case><Case(14)>14</Case><Case(15)>15</Case><Case(16)>16</Case><Case(17)>17</Case><Case(18)>18</Case><Case(19)>19</Case><Case(20)>20</Case><Case(21)>21</Case><Case(22)>22</Case><Case(23)>23</Case></Switch><Else/>0</If>点（地球时间）更新。"
